Technique (ID), Technique (Name), Sub-technique (Name), Num. CAR, Num. Sigma, Num. ES SIEM, Total
T1136,Create Account,n/a,0,6,7,13
T1136.001,Create Account,Local Account,0,6,1,7
T1136.002,Create Account,Domain Account,0,1,0,1
T1136.003,Create Account,Cloud Account,0,0,1,1
T1137,Office Application Startup,n/a,0,1,2,3
T1137.001,Office Application Startup,Office Template Macros,0,0,0,0
T1137.002,Office Application Startup,Office Test,0,1,0,1
T1137.003,Office Application Startup,Outlook Forms,0,0,0,0
T1137.004,Office Application Startup,Outlook Home Page,0,0,0,0
T1137.005,Office Application Startup,Outlook Rules,0,0,0,0
T1137.006,Office Application Startup,Add-ins,0,2,0,2
T1140,Deobfuscate/Decode Files or Information,n/a,0,7,5,12
T1149,LC_MAIN Hijacking,n/a,0,0,0,0
T1153,Source,n/a,0,0,0,0
T1175,Component Object Model and Distributed COM,n/a,0,6,0,6
T1176,Browser Extensions,n/a,0,0,0,0
T1185,Man in the Browser,n/a,0,0,0,0
T1187,Forced Authentication,n/a,1,0,0,1
T1189,Drive-by Compromise,n/a,0,2,1,3
T1190,Exploit Public-Facing Application,n/a,0,34,14,48
T1195,Supply Chain Compromise,n/a,0,1,4,5
T1195.001,Supply Chain Compromise,Compromise Software Dependencies and Development Tools,0,1,0,1
T1195.002,Supply Chain Compromise,Compromise Software Supply Chain,0,0,4,4
T1195.003,Supply Chain Compromise,Compromise Hardware Supply Chain,0,0,0,0
T1197,BITS Jobs,n/a,0,3,0,3
T1199,Trusted Relationship,n/a,0,0,0,0
T1200,Hardware Additions,n/a,0,2,0,2
T1201,Password Policy Discovery,n/a,0,2,0,2
T1202,Indirect Command Execution,n/a,0,6,0,6
T1203,Exploitation for Client Execution,n/a,0,11,1,12
T1204,User Execution,n/a,0,18,3,21
T1204.001,User Execution,Malicious Link,0,0,0,0
T1204.002,User Execution,Malicious File,0,17,0,17
T1205,Traffic Signaling,n/a,0,0,0,0
T1205.001,Traffic Signaling,Port Knocking,0,0,0,0
T1207,Rogue Domain Controller,n/a,0,1,0,1
T1210,Exploitation of Remote Services,n/a,0,5,2,7
T1211,Exploitation for Defense Evasion,n/a,0,2,1,3
T1212,Exploitation for Credential Access,n/a,0,3,0,3
T1213,Data from Information Repositories,n/a,0,0,0,0
T1213.001,Data from Information Repositories,Confluence,0,0,0,0
T1213.002,Data from Information Repositories,Sharepoint,0,0,0,0
T1216,Signed Script Proxy Execution,n/a,0,0,0,0
T1216.001,Signed Script Proxy Execution,PubPrn,0,0,0,0
T1217,Browser Bookmark Discovery,n/a,0,0,0,0
T1218,Signed Binary Proxy Execution,n/a,0,17,11,28
T1218.001,Signed Binary Proxy Execution,Compiled HTML File,1,2,2,5
T1218.002,Signed Binary Proxy Execution,Control Panel,0,1,0,1
T1218.003,Signed Binary Proxy Execution,CMSTP,1,5,0,6
T1218.004,Signed Binary Proxy Execution,InstallUtil,0,1,1,2
T1218.005,Signed Binary Proxy Execution,Mshta,0,8,2,10
T1218.007,Signed Binary Proxy Execution,Msiexec,0,1,0,1
T1218.008,Signed Binary Proxy Execution,Odbcconf,0,1,0,1
T1218.009,Signed Binary Proxy Execution,Regsvcs/Regasm,0,1,1,2
T1218.010,Signed Binary Proxy Execution,Regsvr32,2,7,1,10
T1218.011,Signed Binary Proxy Execution,Rundll32,1,18,2,21
T1218.012,Signed Binary Proxy Execution,Verclsid,0,0,0,0
T1219,Remote Access Software,n/a,0,3,2,5
T1220,XSL Script Processing,n/a,0,2,3,5
T1221,Template Injection,n/a,0,0,0,0
T1222,File and Directory Permissions Modification,n/a,0,3,3,6
T1222.001,File and Directory Permissions Modification,Windows File and Directory Permissions Modification,1,2,0,3
T1222.002,File and Directory Permissions Modification,Linux and Mac File and Directory Permissions Modification,1,2,0,3
T1480,Execution Guardrails,n/a,0,0,0,0
T1480.001,Execution Guardrails,Environmental Keying,0,0,0,0
T1482,Domain Trust Discovery,n/a,0,5,1,6
T1484,Domain Policy Modification,n/a,0,0,0,0
T1484.001,Domain Policy Modification,Group Policy Modification,0,0,0,0
T1484.002,Domain Policy Modification,Domain Trust Modification,0,0,0,0
T1485,Data Destruction,n/a,0,2,5,7
T1486,Data Encrypted for Impact,n/a,0,1,0,1
T1489,Service Stop,n/a,0,1,1,2
T1490,Inhibit System Recovery,n/a,2,5,1,8
T1491,Defacement,n/a,0,0,0,0
T1491.001,Defacement,Internal Defacement,0,0,0,0
T1491.002,Defacement,External Defacement,0,0,0,0
T1495,Firmware Corruption,n/a,0,1,0,1
T1496,Resource Hijacking,n/a,0,0,0,0
T1497,Virtualization/Sandbox Evasion,n/a,0,0,0,0
T1497.001,Virtualization/Sandbox Evasion,System Checks,0,0,0,0
T1497.002,Virtualization/Sandbox Evasion,User Activity Based Checks,0,0,0,0
T1497.003,Virtualization/Sandbox Evasion,Time Based Evasion,0,0,0,0
T1498,Network Denial of Service,n/a,0,0,1,1
T1498.001,Network Denial of Service,Direct Network Flood,0,0,0,0
T1498.002,Network Denial of Service,Reflection Amplification,0,0,0,0
T1499,Endpoint Denial of Service,n/a,0,1,1,2
T1499.001,Endpoint Denial of Service,OS Exhaustion Flood,0,0,0,0
T1499.002,Endpoint Denial of Service,Service Exhaustion Flood,0,0,0,0
T1499.003,Endpoint Denial of Service,Application Exhaustion Flood,0,0,0,0
T1499.004,Endpoint Denial of Service,Application or System Exploitation,0,2,0,2
T1505,Server Software Component,n/a,0,1,1,2
T1505.001,Server Software Component,SQL Stored Procedures,0,0,0,0
T1505.002,Server Software Component,Transport Agent,0,0,0,0
T1505.003,Server Software Component,Web Shell,1,14,1,16
T1518,Software Discovery,n/a,0,0,2,2
T1518.001,Software Discovery,Security Software Discovery,1,0,1,2
T1525,Implant Container Image,n/a,0,0,0,0
T1526,Cloud Service Discovery,n/a,0,0,1,1
T1528,Steal Application Access Token,n/a,0,1,3,4
T1529,System Shutdown/Reboot,n/a,0,2,0,2
T1530,Data from Cloud Storage Object,n/a,0,0,5,5
T1531,Account Access Removal,n/a,0,0,6,6
T1534,Internal Spearphishing,n/a,0,0,0,0
T1535,Unused/Unsupported Cloud Regions,n/a,0,0,0,0
T1537,Transfer Data to Cloud Account,n/a,0,1,5,6
T1538,Cloud Service Dashboard,n/a,0,0,0,0
T1539,Steal Web Session Cookie,n/a,0,0,2,2
T1542,Pre-OS Boot,n/a,0,0,0,0
T1542.001,Pre-OS Boot,System Firmware,0,0,0,0
T1542.002,Pre-OS Boot,Component Firmware,0,0,0,0
T1542.003,Pre-OS Boot,Bootkit,0,1,0,1
T1542.004,Pre-OS Boot,ROMMONkit,0,0,0,0
T1542.005,Pre-OS Boot,TFTP Boot,0,0,0,0
T1543,Create or Modify System Process,n/a,0,0,13,13
T1543.001,Create or Modify System Process,Launch Agent,0,0,3,3
T1543.002,Create or Modify System Process,Systemd Service,0,1,0,1
T1543.003,Create or Modify System Process,Windows Service,6,10,5,21
T1543.004,Create or Modify System Process,Launch Daemon,0,0,0,0
T1546,Event Triggered Execution,n/a,0,2,14,16
T1546.001,Event Triggered Execution,Change Default File Association,1,1,0,2
T1546.002,Event Triggered Execution,Screensaver,1,0,0,1
T1546.003,Event Triggered Execution,Windows Management Instrumentation Event Subscription,1,6,0,7
T1546.004,Event Triggered Execution,.bash_profile and .bashrc,0,1,1,2
T1546.005,Event Triggered Execution,Trap,0,0,0,0
T1546.006,Event Triggered Execution,LC_LOAD_DYLIB Addition,0,0,0,0
T1546.007,Event Triggered Execution,Netsh Helper DLL,0,1,0,1
T1546.008,Event Triggered Execution,Accessibility Features,3,2,2,7
T1546.009,Event Triggered Execution,AppCert DLLs,0,1,1,2
T1546.010,Event Triggered Execution,AppInit DLLs,2,1,1,4
T1546.011,Event Triggered Execution,Application Shimming,0,1,3,4
T1546.012,Event Triggered Execution,Image File Execution Options Injection,0,2,1,3
T1546.013,Event Triggered Execution,PowerShell Profile,0,1,0,1
T1546.014,Event Triggered Execution,Emond,0,0,2,2
T1546.015,Event Triggered Execution,Component Object Model Hijacking,1,0,1,2
T1547,Boot or Logon Autostart Execution,n/a,0,1,21,22
T1547.001,Boot or Logon Autostart Execution,Registry Run Keys / Startup Folder,3,9,7,19
T1547.002,Boot or Logon Autostart Execution,Authentication Package,0,0,3,3
T1547.003,Boot or Logon Autostart Execution,Time Providers,0,0,1,1
T1547.004,Boot or Logon Autostart Execution,Winlogon Helper DLL,1,2,0,3
T1547.005,Boot or Logon Autostart Execution,Security Support Provider,0,1,1,2
T1547.006,Boot or Logon Autostart Execution,Kernel Modules and Extensions,0,0,3,3
T1547.007,Boot or Logon Autostart Execution,Re-opened Applications,0,0,0,0
T1547.008,Boot or Logon Autostart Execution,LSASS Driver,0,1,0,1
T1547.009,Boot or Logon Autostart Execution,Shortcut Modification,0,1,0,1
T1547.010,Boot or Logon Autostart Execution,Port Monitors,1,0,2,3
T1547.011,Boot or Logon Autostart Execution,Plist Modification,0,0,2,2
T1547.012,Boot or Logon Autostart Execution,Print Processors,0,0,0,0
T1548,Abuse Elevation Control Mechanism,n/a,1,1,20,22
T1548.001,Abuse Elevation Control Mechanism,Setuid and Setgid,0,0,2,2
T1548.002,Abuse Elevation Control Mechanism,Bypass User Account Control,2,8,11,21
T1548.003,Abuse Elevation Control Mechanism,Sudo and Sudo Caching,0,0,2,2
T1548.004,Abuse Elevation Control Mechanism,Elevated Execution with Prompt,0,0,0,0
T1550,Use Alternate Authentication Material,n/a,0,0,3,3
T1550.001,Use Alternate Authentication Material,Application Access Token,0,0,2,2
T1550.002,Use Alternate Authentication Material,Pass the Hash,1,5,0,6
T1550.003,Use Alternate Authentication Material,Pass the Ticket,0,2,1,3
T1550.004,Use Alternate Authentication Material,Web Session Cookie,0,0,0,0
T1552,Unsecured Credentials,n/a,0,0,3,3
T1552.001,Unsecured Credentials,Credentials In Files,1,3,2,6
T1552.002,Unsecured Credentials,Credentials in Registry,1,2,0,3
T1552.003,Unsecured Credentials,Bash History,0,1,0,1
T1552.004,Unsecured Credentials,Private Keys,0,1,1,2
T1552.005,Unsecured Credentials,Cloud Instance Metadata API,0,0,0,0
T1552.006,Unsecured Credentials,Group Policy Preferences,0,1,0,1
T1553,Subvert Trust Controls,n/a,0,0,5,5
T1553.001,Subvert Trust Controls,Gatekeeper Bypass,0,0,0,0
T1553.002,Subvert Trust Controls,Code Signing,0,1,1,2
T1553.003,Subvert Trust Controls,SIP and Trust Provider Hijacking,0,0,1,1
T1553.004,Subvert Trust Controls,Install Root Certificate,0,1,2,3
T1554,Compromise Client Software Binary,n/a,0,0,2,2
T1555,Credentials from Password Stores,n/a,0,1,5,6
T1555.001,Credentials from Password Stores,Keychain,0,0,4,4
T1555.002,Credentials from Password Stores,Securityd Memory,0,0,0,0
T1555.003,Credentials from Password Stores,Credentials from Web Browsers,0,0,1,1
T1556,Modify Authentication Process,n/a,0,0,3,3
T1556.001,Modify Authentication Process,Domain Controller Authentication,0,0,0,0
T1556.002,Modify Authentication Process,Password Filter DLL,0,0,0,0
T1556.003,Modify Authentication Process,Pluggable Authentication Modules,0,0,0,0
T1556.004,Modify Authentication Process,Network Device Authentication,0,0,0,0
T1557,Man-in-the-Middle,n/a,0,0,0,0
T1557.001,Man-in-the-Middle,LLMNR/NBT-NS Poisoning and SMB Relay,0,1,0,1
T1557.002,Man-in-the-Middle,ARP Cache Poisoning,0,0,0,0
T1558,Steal or Forge Kerberos Tickets,n/a,0,3,2,5
T1558.001,Steal or Forge Kerberos Tickets,Golden Ticket,0,0,0,0
T1558.002,Steal or Forge Kerberos Tickets,Silver Ticket,0,0,0,0
T1558.003,Steal or Forge Kerberos Tickets,Kerberoasting,0,7,0,7
T1558.004,Steal or Forge Kerberos Tickets,AS-REP Roasting,0,0,0,0
T1559,Inter-Process Communication,n/a,0,0,1,1
T1559.001,Inter-Process Communication,Component Object Model,0,3,1,4
T1559.002,Inter-Process Communication,Dynamic Data Exchange,0,0,0,0
T1560,Archive Collected Data,n/a,0,1,2,3
T1560.001,Archive Collected Data,Archive via Utility,1,6,1,8
T1560.002,Archive Collected Data,Archive via Library,0,0,0,0
T1560.003,Archive Collected Data,Archive via Custom Method,0,0,0,0
T1561,Disk Wipe,n/a,0,0,0,0
T1561.001,Disk Wipe,Disk Content Wipe,0,1,0,1
T1561.002,Disk Wipe,Disk Structure Wipe,0,1,0,1
T1562,Impair Defenses,n/a,0,1,44,45
T1562.001,Impair Defenses,Disable or Modify Tools,2,20,33,55
T1562.002,Impair Defenses,Disable Windows Event Logging,0,3,0,3
T1562.003,Impair Defenses,Impair Command History Logging,0,0,0,0
T1562.004,Impair Defenses,Disable or Modify System Firewall,0,4,0,4
T1562.006,Impair Defenses,Indicator Blocking,2,3,1,6
T1562.007,Impair Defenses,Disable or Modify Cloud Firewall,0,0,0,0
T1562.008,Impair Defenses,Disable Cloud Logs,0,0,0,0
T1563,Remote Service Session Hijacking,n/a,0,0,0,0
T1563.001,Remote Service Session Hijacking,SSH Hijacking,0,0,0,0
T1563.002,Remote Service Session Hijacking,RDP Hijacking,0,2,0,2
T1564,Hide Artifacts,n/a,0,0,6,6
T1564.001,Hide Artifacts,Hidden Files and Directories,0,1,4,5
T1564.002,Hide Artifacts,Hidden Users,0,0,0,0
T1564.003,Hide Artifacts,Hidden Window,0,1,0,1
T1564.004,Hide Artifacts,NTFS File Attributes,2,3,1,6
T1564.005,Hide Artifacts,Hidden File System,0,0,0,0
T1564.006,Hide Artifacts,Run Virtual Instance,0,0,0,0
T1564.007,Hide Artifacts,VBA Stomping,0,0,0,0
T1565,Data Manipulation,n/a,0,0,3,3
T1565.001,Data Manipulation,Stored Data Manipulation,0,1,3,4
T1565.002,Data Manipulation,Transmitted Data Manipulation,0,1,0,1
T1565.003,Data Manipulation,Runtime Data Manipulation,0,0,0,0
T1566,Phishing,n/a,0,2,15,17
T1566.001,Phishing,Spearphishing Attachment,0,8,10,18
T1566.002,Phishing,Spearphishing Link,0,0,7,7
T1566.003,Phishing,Spearphishing via Service,0,0,0,0
T1567,Exfiltration Over Web Service,n/a,0,1,0,1
T1567.001,Exfiltration Over Web Service,Exfiltration to Code Repository,0,1,0,1
T1567.002,Exfiltration Over Web Service,Exfiltration to Cloud Storage,0,1,0,1
T1568,Dynamic Resolution,n/a,0,1,3,4
T1568.001,Dynamic Resolution,Fast Flux DNS,0,0,0,0
T1568.002,Dynamic Resolution,Domain Generation Algorithms,0,0,3,3
T1568.003,Dynamic Resolution,DNS Calculation,0,0,0,0
T1569,System Services,n/a,0,1,3,4
T1569.001,System Services,Launchctl,0,0,0,0
T1569.002,System Services,Service Execution,3,11,3,17
T1570,Lateral Tool Transfer,n/a,3,2,1,6
T1571,Non-Standard Port,n/a,0,1,0,1
T1572,Protocol Tunneling,n/a,0,4,0,4
T1573,Encrypted Channel,n/a,0,0,1,1
T1573.001,Encrypted Channel,Symmetric Cryptography,0,0,0,0
T1573.002,Encrypted Channel,Asymmetric Cryptography,0,0,0,0
T1574,Hijack Execution Flow,n/a,0,1,6,7
T1574.001,Hijack Execution Flow,DLL Search Order Hijacking,0,3,1,4
T1574.002,Hijack Execution Flow,DLL Side-Loading,0,15,1,16
T1574.004,Hijack Execution Flow,Dylib Hijacking,0,0,0,0
T1574.005,Hijack Execution Flow,Executable Installer File Permissions Weakness,0,0,0,0
T1574.006,Hijack Execution Flow,LD_PRELOAD,0,1,1,2
T1574.007,Hijack Execution Flow,Path Interception by PATH Environment Variable,1,0,2,3
T1574.008,Hijack Execution Flow,Path Interception by Search Order Hijacking,1,0,0,1
T1574.009,Hijack Execution Flow,Path Interception by Unquoted Path,2,0,0,2
T1574.010,Hijack Execution Flow,Services File Permissions Weakness,2,0,1,3
T1574.011,Hijack Execution Flow,Services Registry Permissions Weakness,4,2,0,6
T1574.012,Hijack Execution Flow,COR_PROFILER,0,0,0,0
T1578,Modify Cloud Compute Infrastructure,n/a,0,0,0,0
T1578.001,Modify Cloud Compute Infrastructure,Create Snapshot,0,0,0,0
T1578.002,Modify Cloud Compute Infrastructure,Create Cloud Instance,0,0,0,0
T1578.003,Modify Cloud Compute Infrastructure,Delete Cloud Instance,0,0,0,0
